class,feature,mean,std,min,max,median
Grayhole, ADV_R,19.015243641346235,9.125975366981494,0.0,28.0,25.0
Grayhole, JOIN_S,0.0,0.0,0.0,0.0,0.0
Grayhole, JOIN_R,3.0025691530358825,8.992192965988052,0.0,99.0,0.0
Grayhole, SCH_S,0.20775884216836515,0.40572059664705273,0.0,1.0,0.0
Grayhole, SCH_R,0.004196283291941424,0.06464543591210777,0.0,1.0,0.0
Grayhole,Rank,0.0,0.0,0.0,0.0,0.0
Grayhole, DATA_S,0.0,0.0,0.0,0.0,0.0
Grayhole, DATA_R,177.51905455168279,379.33460104781324,0.0,1372.0,0.0
Grayhole, Data_Sent_To_BS,12.225400359681425,26.92249789608097,0.0,140.0,1.0
Grayhole, dist_CH_To_BS,75.7595654483172,64.79588215641381,0.0,176.62353,91.08583
Grayhole, send_code ,0.0,0.0,0.0,0.0,0.0
Grayhole,Expaned Energy,0.47859831634837713,0.8542892144531087,0.0,4.16814,0.03693
Normal, id,249675.1888241954,375247.97814251774,101000.0,3402096.0,115036.0
Normal, Time,973.4254958610854,830.349986143338,50.0,3600.0,753.0
Normal, Is_CH,0.027200682222516284,0.16266807422872095,0.0,1.0,0.0
Normal, who CH,249684.60944966404,375260.0727050929,101000.0,3402100.0,115040.0
Normal, Dist_To_CH,24.866873069192653,21.756889065584883,0.0,214.27462,20.86783
Normal, ADV_S,0.037474453413318044,0.417441704326736,0.0,23.0,0.0
Normal, ADV_R,5.983657536059283,5.889012275384994,0.0,117.0,5.0
Normal, JOIN_S,0.8581080087630306,0.34893996850170456,0.0,1.0,1.0
Normal, JOIN_R,0.22210459765044918,2.574765445856049,0.0,99.0,0.0
Normal, SCH_S,0.015673474188758033,0.12420898962994825,0.0,1.0,0.0
Normal, SCH_R,0.820096893240998,0.3841074345216671,0.0,1.0,1.0
Normal,Rank,10.682376898534104,15.096329819101335,0.0,99.0,4.0
Normal, DATA_S,49.37978033611221,42.1166890259116,0.0,241.0,40.0
Normal, DATA_R,62.101815094173176,205.22566174249636,0.0,1496.0,0.0
Normal, Data_Sent_To_BS,3.6862107244203313,16.264203183334114,0.0,241.0,0.0
Normal, dist_CH_To_BS,19.89554066163822,47.823035945587904,0.0,201.93494,0.0
Normal, send_code ,2.74682046079426,2.381958953092698,0.0,15.0,2.0
Normal,Expaned Energy,0.2895133768176672,0.6527774424876911,0.0,45.09394,0.10263
TDMA, id,251678.93785310735,163929.78557522662,101000.0,902070.0,205083.0
TDMA, Time,1423.1035781544256,981.5318985024066,53.0,3553.0,1253.0
TDMA, Is_CH,0.9365348399246705,0.24382069049162494,0.0,1.0,1.0
TDMA, who CH,251693.53013182673,163943.66382230746,101000.0,902100.0,205100.0
TDMA, Dist_To_CH,1.7474262617702447,8.28227611252061,0.0,102.4301,0.0
TDMA, ADV_S,0.9365348399246705,0.24382069049162494,0.0,1.0,1.0
TDMA, ADV_R,5.333145009416196,2.838255019800017,0.0,26.0,5.0
TDMA, JOIN_S,0.06007532956685499,0.23764873300555875,0.0,1.0,0.0
TDMA, JOIN_R,14.475517890772128,15.061263211448876,0.0,99.0,10.0
TDMA, SCH_S,14.475517890772128,15.061263211448876,0.0,99.0,10.0
TDMA, SCH_R,0.0583804143126177,0.2344834664882284,0.0,1.0,0.0
TDMA,Rank,1.1634651600753296,6.336310050773387,0.0,89.0,0.0
TDMA, DATA_S,2.973069679849341,14.967316367080915,0.0,241.0,0.0
TDMA, DATA_R,61.84670433145009,196.41012864863742,0.0,1298.0,0.0
TDMA, Data_Sent_To_BS,25.57777777777778,64.27297070456903,0.0,241.0,0.0
TDMA, dist_CH_To_BS,22.815904137476462,49.41102103812304,0.0,176.62353,0.0
TDMA, send_code ,0.17024482109227873,0.8084711930204923,0.0,10.0,0.0
TDMA,Expaned Energy,0.4856840508474576,0.8625339124947915,0.00222,4.95157,0.00724
